start_time,end_time,open,close,low,high,h_open,h_close,h_low,h_high,finish
2023-06-02 01:45:00,2023-06-02 01:47:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 01:48:00,2023-06-02 01:50:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 01:51:00,2023-06-02 01:53:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 01:54:00,2023-06-02 01:56:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 01:57:00,2023-06-02 01:59:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 02:00:00,2023-06-02 02:02:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 02:03:00,2023-06-02 02:05:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 02:06:00,2023-06-02 02:08:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 02:09:00,2023-06-02 02:11:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 02:12:00,2023-06-02 02:14:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 02:15:00,2023-06-02 02:17:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 02:18:00,2023-06-02 02:20:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 02:21:00,2023-06-02 02:23:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 02:24:00,2023-06-02 02:26:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 02:27:00,2023-06-02 02:29:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 02:30:00,2023-06-02 02:32:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 02:33:00,2023-06-02 02:35:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 02:36:00,2023-06-02 02:38:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 02:39:00,2023-06-02 02:41:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 02:42:00,2023-06-02 02:44:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 02:45:00,2023-06-02 02:47:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 02:48:00,2023-06-02 02:50:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 02:51:00,2023-06-02 02:53:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 02:54:00,2023-06-02 02:56:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 02:57:00,2023-06-02 02:59:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 03:00:00,2023-06-02 03:02:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 03:03:00,2023-06-02 03:05:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 03:06:00,2023-06-02 03:08:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 03:09:00,2023-06-02 03:11:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 03:12:00,2023-06-02 03:14:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 03:15:00,2023-06-02 03:17:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 03:18:00,2023-06-02 03:20:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 03:21:00,2023-06-02 03:23:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 03:24:00,2023-06-02 03:26:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 03:27:00,2023-06-02 03:29:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 03:30:00,2023-06-02 03:32:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 03:33:00,2023-06-02 03:35:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 03:36:00,2023-06-02 03:38:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 03:39:00,2023-06-02 03:41:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 03:42:00,2023-06-02 03:44:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 03:45:00,2023-06-02 03:47:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 03:48:00,2023-06-02 03:50:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 03:51:00,2023-06-02 03:53:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 03:54:00,2023-06-02 03:56:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 03:57:00,2023-06-02 03:59:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 04:00:00,2023-06-02 04:02:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 04:03:00,2023-06-02 04:05:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 04:06:00,2023-06-02 04:08:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 04:09:00,2023-06-02 04:11:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 04:12:00,2023-06-02 04:14:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 04:15:00,2023-06-02 04:17:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 04:18:00,2023-06-02 04:20:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 04:21:00,2023-06-02 04:23:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 04:24:00,2023-06-02 04:26:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 04:27:00,2023-06-02 04:29:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 04:30:00,2023-06-02 04:32:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 04:33:00,2023-06-02 04:35:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 04:36:00,2023-06-02 04:38:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 04:39:00,2023-06-02 04:41:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 04:42:00,2023-06-02 04:44:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 04:45:00,2023-06-02 04:47:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 04:48:00,2023-06-02 04:50:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 04:51:00,2023-06-02 04:53:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 04:54:00,2023-06-02 04:56:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 04:57:00,2023-06-02 04:59:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 05:00:00,2023-06-02 05:02:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 05:03:00,2023-06-02 05:05:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 05:06:00,2023-06-02 05:08:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 05:09:00,2023-06-02 05:11:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 05:12:00,2023-06-02 05:14:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 05:15:00,2023-06-02 05:17:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 05:18:00,2023-06-02 05:20:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 05:21:00,2023-06-02 05:23:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 05:24:00,2023-06-02 05:26:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 05:27:00,2023-06-02 05:29:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 05:30:00,2023-06-02 05:32:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 05:33:00,2023-06-02 05:35:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 05:36:00,2023-06-02 05:38:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 05:39:00,2023-06-02 05:41:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 05:42:00,2023-06-02 05:44:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 05:45:00,2023-06-02 05:47:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 05:48:00,2023-06-02 05:50:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 05:51:00,2023-06-02 05:53:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 05:54:00,2023-06-02 05:56:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 05:57:00,2023-06-02 05:59:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 06:00:00,2023-06-02 06:02:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 06:03:00,2023-06-02 06:05:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 06:06:00,2023-06-02 06:08:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 06:09:00,2023-06-02 06:11:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 06:12:00,2023-06-02 06:14:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 06:15:00,2023-06-02 06:17:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 06:18:00,2023-06-02 06:20:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 06:21:00,2023-06-02 06:23:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 06:24:00,2023-06-02 06:26:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 06:27:00,2023-06-02 06:29:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 06:30:00,2023-06-02 06:32:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 06:33:00,2023-06-02 06:35:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 06:36:00,2023-06-02 06:38:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 06:39:00,2023-06-02 06:41:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 06:42:00,2023-06-02 06:44:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 06:45:00,2023-06-02 06:47:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 06:48:00,2023-06-02 06:50:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 06:51:00,2023-06-02 06:53:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 06:54:00,2023-06-02 06:56:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 06:57:00,2023-06-02 06:59:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 07:00:00,2023-06-02 07:02:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 07:03:00,2023-06-02 07:05:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 07:06:00,2023-06-02 07:08:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 07:09:00,2023-06-02 07:11:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 07:12:00,2023-06-02 07:14:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 07:15:00,2023-06-02 07:17:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 07:18:00,2023-06-02 07:20:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 07:21:00,2023-06-02 07:23:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 07:24:00,2023-06-02 07:26:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 07:27:00,2023-06-02 07:29:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 07:30:00,2023-06-02 07:32:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 07:33:00,2023-06-02 07:35:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 07:36:00,2023-06-02 07:38:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 07:39:00,2023-06-02 07:41:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 07:42:00,2023-06-02 07:44:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 07:45:00,2023-06-02 07:47:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 07:48:00,2023-06-02 07:50:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 07:51:00,2023-06-02 07:53:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 07:54:00,2023-06-02 07:56:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 07:57:00,2023-06-02 07:59:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 08:00:00,2023-06-02 08:02:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 08:03:00,2023-06-02 08:05:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 08:06:00,2023-06-02 08:08:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 08:09:00,2023-06-02 08:11:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 08:12:00,2023-06-02 08:14:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 08:15:00,2023-06-02 08:17:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 08:18:00,2023-06-02 08:20:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 08:21:00,2023-06-02 08:23:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 08:24:00,2023-06-02 08:26:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 08:27:00,2023-06-02 08:29:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 08:30:00,2023-06-02 08:32:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 08:33:00,2023-06-02 08:35:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 08:36:00,2023-06-02 08:38:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 08:39:00,2023-06-02 08:41:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 08:42:00,2023-06-02 08:44:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 08:45:00,2023-06-02 08:47:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 08:48:00,2023-06-02 08:50:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 08:51:00,2023-06-02 08:53:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 08:54:00,2023-06-02 08:56:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 08:57:00,2023-06-02 08:59:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 09:00:00,2023-06-02 09:02:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 09:03:00,2023-06-02 09:05:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 09:06:00,2023-06-02 09:08:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 09:09:00,2023-06-02 09:11:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 09:12:00,2023-06-02 09:14:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 09:15:00,2023-06-02 09:17:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 09:18:00,2023-06-02 09:20:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 09:21:00,2023-06-02 09:23:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 09:24:00,2023-06-02 09:26:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 09:27:00,2023-06-02 09:29:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 09:30:00,2023-06-02 09:32:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 09:33:00,2023-06-02 09:35:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 09:36:00,2023-06-02 09:38:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 09:39:00,2023-06-02 09:41:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 09:42:00,2023-06-02 09:44:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 09:45:00,2023-06-02 09:47:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 09:48:00,2023-06-02 09:50:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 09:51:00,2023-06-02 09:53:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 09:54:00,2023-06-02 09:56:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 09:57:00,2023-06-02 09:59:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 10:00:00,2023-06-02 10:02:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 10:03:00,2023-06-02 10:05:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 10:06:00,2023-06-02 10:08:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 10:09:00,2023-06-02 10:11:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 10:12:00,2023-06-02 10:14:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 10:15:00,2023-06-02 10:17:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 10:18:00,2023-06-02 10:20:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 10:21:00,2023-06-02 10:23:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 10:24:00,2023-06-02 10:26:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 10:27:00,2023-06-02 10:29:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 10:30:00,2023-06-02 10:32:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 10:33:00,2023-06-02 10:35:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 10:36:00,2023-06-02 10:38:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 10:39:00,2023-06-02 10:41:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 10:42:00,2023-06-02 10:44:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 10:45:00,2023-06-02 10:47:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 10:48:00,2023-06-02 10:50:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 10:51:00,2023-06-02 10:53:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 10:54:00,2023-06-02 10:56:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 10:57:00,2023-06-02 10:59:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 11:00:00,2023-06-02 11:02:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 11:03:00,2023-06-02 11:05:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 11:06:00,2023-06-02 11:08:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 11:09:00,2023-06-02 11:11:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 11:12:00,2023-06-02 11:14:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 11:15:00,2023-06-02 11:17:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 11:18:00,2023-06-02 11:20:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 11:21:00,2023-06-02 11:23:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 11:24:00,2023-06-02 11:26:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 11:27:00,2023-06-02 11:29:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 11:30:00,2023-06-02 11:32:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
2023-06-02 11:33:00,2023-06-02 11:35:59,1.454,1.454,1.454,1.454,1.454,1.454,1.454,1.454,True
